BMS ID #,GDSN name,GDSN definition,Business name,Business definition,Example,Usage Statement,Global Data Model attribute,Last Update ADB Release #,xPath,Cardinality,Length,DataType
123,contactAddress,"The address associated with the contact type. For example, in case of a contact type of CONSUMER_SUPPORT, this could be the full company address as expressed on the trade item packaging or label.",Contact Address,The contact's postal or physical address.,"• Accounting contact details shown with accounting contact information shown on an invoice
• Product recall contact details shown with a recall notice and contact information
• Consumer Support contact details shown with consumer support phone number or website
• BZL - Licensee Registrar showing name and address of distributor, CXC - Consumer Support or GR - Goods receiving contact
• DQT - Contact for local sales representative, including GLN.

Show products for each code selected in the examples.

Include all of these related attributes in each of the examples to clearly demonstrate the relationship between them: Contact Type Code; Contact Method Code; Contact Information Available Time; Contact Address; Contact; Contact Information GLN (Global Location Number); Contact Details","Used by the seller to communicate to the buyer the contact's postal/physical address for business processes or consumer information. Postal/physical address is not an option in the Contact Method Code.
",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemContactInformation/contactAddress,0..1,unbounded {1..500},string
126,contactName,"The name of the company or person associated with the contact type. For example, in case of a contact type of CONSUMER_SUPPORT, this could be the company name as expressed on the trade item packaging or label.",Contact,"The contact, such as a person, company or department.","• Accounting contact details shown with accounting contact information shown on an invoice
• Product recall contact details shown with a recall notice and contact information
• Consumer Support contact details shown with consumer support phone number or website
• BZL - Licensee Registrar showing name and address of distributor, CXC - Consumer Support or GR - Goods receiving contact
• DQT - Contact for local sales representative, including GLN.

Show products for each code selected in the examples.

Include all of these related attributes in each of the examples to clearly demonstrate the relationship between them: Contact Type Code; Contact Method Code; Contact Information Available Time; Contact Address; Contact; Contact Information GLN (Global Location Number); Contact Details","Used by the seller to communicate to the buyer the name of the contact for business processes or for consumer information, relative to the Contact Type Code.
",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemContactInformation/contactName,0..1,unbounded {1..200},string
127,contactTypeCode,The  general category of the contact party for a trade item for example Purchasing.,Contact Type Code,The code specifying the type of contact for a product.,"• Accounting contact details shown with accounting contact information shown on an invoice
• Product recall contact details shown with a recall notice and contact information
• Consumer Support contact details shown with consumer support phone number or website
• BZL - Licensee Registrar showing name and address of distributor, CXC - Consumer Support or GR - Goods receiving contact
• DQT - Contact for local sales representative, including GLN.

Show products for each code selected in the examples.

Include all of these related attributes in each of the examples to clearly demonstrate the relationship between them: Contact Type Code; Contact Method Code; Contact Information Available Time; Contact Address; Contact; Contact Information GLN (Global Location Number); Contact Details","Used by the seller to communicate to the buyer the type of contact for business processes or for consumer information.
",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemContactInformation/contactTypeCode,1..1,1..80 ,ContactTypeCode
128,gln,"The Global Location Number (GLN) is a structured Identification of a physical location, legal or functional entity within an enterprise. The GLN is the primary party identifier. Each party identified in the trading relationship must have a primary party Identification.",Contact Information GLN (Global Location Number),"The Global Location Number (GLN) that uniquely identifies the party's contact information.
","An EDI purchase order showing contact information GLN and related party information versus global (e.g. a global corporation has a macro level GLN, but they have more regional/local GLNs that may be in the Enterprise Resource Planning (ERP) system of the buyer).","Used by the seller to communicate the GLN of the party associated with the contact information to the buyer. It allows the buyer to identify the party associated with the contact information.
Used by the buyer for internal validation and to support some B2B processes.",N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemContactInformation/gln,0..1,13..13 ,GLN
134,communicationChannelCode,"Code specifying the type of communication channel, for example TELEPHONE.",Contact Method Code,The code specifying the method of communication to reach the contact.,"• Accounting contact details shown with accounting contact information shown on an invoice
• Product recall contact details shown with a recall notice and contact information
• Consumer Support contact details shown with consumer support phone number or website
• BZL - Licensee Registrar showing name and address of distributor, CXC - Consumer Support or GR - Goods receiving contact
• DQT - Contact for local sales representative, including GLN.
• Email
• Mobile website
• Social Media
• Telefax
• Telephone 
• Website

Show products for each code selected in the examples.

Include all of these related attributes in each of the examples to clearly demonstrate the relationship between them: Contact Type Code; Contact Method Code; Contact Information Available Time; Contact Address; Contact; Contact Information GLN (Global Location Number); Contact Details","Used by the seller to communicate to the buyer the contact method for business processes or for consumer information, relative to the Contact Type Code.
",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemContactInformation/targetMarketCommunicationChannel/communicationChannel/communicationChannelCode,1..1,1..80 ,CommunicationChannelCode
135,communicationValue,"Text identifying the endpoint for the communication channel, for example a telephone number or an e-mail address.",Contact Details,"The detailed information used to communicate with the contact, such as the telephone number, email address or web site address.","• Accounting contact details shown with accounting contact information shown on an invoice
• Product recall contact details shown with a recall notice and contact information
• Consumer Support contact details shown with consumer support phone number or website
• BZL - Licensee Registrar showing name and address of distributor, CXC - Consumer Support or GR - Goods receiving contact
• DQT - Contact for local sales representative, including GLN.

Show products for each code selected in the examples.

Include all of these related attributes in each of the examples to clearly demonstrate the relationship between them: Contact Type Code; Contact Method Code; Contact Information Available Time; Contact Address; Contact; Contact Information GLN (Global Location Number); Contact Details",Used by the seller to communicate to the buyer the value associated with the Contact Method Code that can be used to communicate with the contact.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemContactInformation/targetMarketCommunicationChannel/communicationChannel/communicationValue,1..1,{1..200},string
144,effectiveDateTime,Date on which the information of the master data is valid for order to pay.,Product Information Effective Date/Time,The date/time when the product information becomes effective.,"The seller is making a minor change in compliance with the GS1 GTIN Management Standard (https://www.gs1.org/sites/default/files/docs/barcodes/GS1_GTIN_Management_Standard.pdf), such as package markings or a new accreditation label, and wants to inform buyer of the date/time the change will be begin.

Note:  In some instances, this value could be generated by a system.",Used by the data recipient to determine the date/time when the product information should be applied in their system. ,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemSynchronisationDates/effectiveDateTime,0..1,1..24 ,DateTime
149,displayTypeCode,"A code determining the type of display a trade item is, for example Shelf Display Ready Packaging.",Display Type Code,The code describing the type of product display.,"• Images and codes of candy in a shelf-ready display
• Battery shipper
• Shelf display ready packaging",Used to communicate display readiness and configuration.,N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/displayUnitInformation/displayTypeCode,0..1,1..80 ,DisplayTypeCode
151,isTradeItemADisplayUnit,An indicator whether or not a trade item is or could be used as a display unit. A display unit is intended to be shipped to a store without being split at a distribution centre or similar party and is intended to be displayed in a retail store either on a shelf or on the shop floor.,Display Unit Indicator,The indicator that specifies a trade item can be used as a display.,"• Image of a shelf-ready display, sitting on the shelf
• Drop pallet of cereal
• Shipper of DVDs","Used by the buyer for promotional planning and logistics
Used for shelf planning and reduces stocking time.",N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/displayUnitInformation/isTradeItemADisplayUnit,0..1,1..80 ,NonBinaryLogicEnumeration
161,gpcCategoryCode,Code specifying a product category according to the GS1 Global Product Classification (GPC) standard.,Global Product Category Code,The code used to group products based on similar characteristics according to the GS1 Global Product Classification (GPC).,"An image that highlights three different products in the same GPC with the GPC code and description (no attributes, just the GPC brick).","Used for multiple use cases such as data quality, category management, space management and workflow routing.",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/gDSNTradeItemClassification/gpcCategoryCode,1..1,unbounded {8..8},string
165,gpcAttributeTypeCode,"Code specifying the type of the Global Product Classification (GPC) attribute, for example 20000081 - Grape Variety.",Global Product Category Attribute Type Code,The code identifying the attribute of a particular product category from GS1 Global Product Classification (GPC).,"20000081 - Grape Variety
","Used by the buyer to offer advanced filtering options for consumers shopping online.

May be used by the buyer in assortment planning.

Used in conjunction with the Global Product Category Attribute Value Code.
",N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/gDSNTradeItemClassification/gDSNTradeItemClassificationAttribute/gpcAttributeTypeCode,1..1,unbounded {8..8},string
166,gpcAttributeValueCode,The GS1 provided code which identifies the Global Product Classification Attribute Value.,Global Product Category Attribute Value Code,The code identifying the value of an attribute identified in Global Product Category Attribute Type Code providing the most granular level of detail about a particular product category.,CHARDONNAY,"Used by the buyer to offer advanced filtering options for consumers shopping online.

May be used by the buyer in assortment planning.

Used in conjunction with the Global Product Category Attribute Type Code.",N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/gDSNTradeItemClassification/gDSNTradeItemClassificationAttribute/gpcAttributeValueCode,0..1,unbounded {8..8},string
171,additionalTradeItemClassificationSystemCode,The Classification System for the Additional Trade Item Classification.,Additional Product Classification Type Code,The code indicating the type of Additional Product Classification Value used.,"Image of:
•  box of cereal and its United Nations Standard Products and Services Code (UNSPSC) and value.
•  the same box of cereal with its eCl@ss code and value.
•  box of syringes with its Global Medical Device Nomenclature (GMDN) Code and value.
","Used to declare the type of the additional product classification that allows a buyer to know which classification system is used.  

Used in conjunction with Additional Product Classification Value.",N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/gDSNTradeItemClassification/additionalTradeItemClassification/additionalTradeItemClassificationSystemCode,0..1,1..80 ,AdditionalTradeItemClassificationCodeListCode
173,additionalTradeItemClassificationCodeValue,Category code based on alternate classification schema chosen in addition to GS1 classification schema.,Additional Product Classification Value,"A value, other than the Global Product Category Code, which classifies the product, based on the Additional Product Classification Type Code.","Image of:
• box of cereal and its United Nations Standard Products and Services Code (UNSPSC) and value.
• the same box of cereal with its eCl@ss code and value.
• box of syringes with its Global Medical Device Nomenclature (GMDN) Code and value.
","Used for additional product classification that allows a buyer to classify a product by other classification systems.  Used for multiple use cases such as data quality, category management, space management, workflow routing.  

Used in conjunction with Additional Product Classification Type Code.    ",N,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/gDSNTradeItemClassification/additionalTradeItemClassification/additionalTradeItemClassificationValue/additionalTradeItemClassificationCodeValue,1..1,1..80 ,String80
199,quantityOfChildren,Value indicates the number of unique next lower level trade items contained in a complex trade item. A complex trade item can contain at least 2 different GTINs.,Number of Different Products,"The number of different products, each with a unique GTIN, within this item.","• Quantity tab
• a multi-pack
• a case of single product
• a pallet of cases of a single product
• a pallet of different products (different cases)",Used by a buyer and/or consumer to understand what type of product they are receiving; also used for inventory/warehouse management.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/nextLowerLevelTradeItemInformation/quantityOfChildren,1..1,1..70 ,nonNegativeInteger
200,totalQuantityOfNextLowerLevelTradeItem,This represents the Total quantity of next lower level trade items that this trade item contains.,Total Count of All Products,The total count of all products within this item.,"• Quantity tab
• a multi-pack
• a case of single product
• a pallet of cases of a single product
• a pallet of different products (different cases)",Used by a buyer and/or consumer to understand what type of product they are receiving; also used for inventory/warehouse management.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/nextLowerLevelTradeItemInformation/totalQuantityOfNextLowerLevelTradeItem,1..1,1..70 ,nonNegativeInteger
202,quantityOfNextLowerLevelTradeItem,The number of one child trade item (as identified by the association of ChildTradeItem class to TradeItemIdentification class) contained by the parent trade item. The child trade item must be in the hierarchy level immediately below the parent trade item.,Count of Each Specific Product,The count of each specific product within this item.,"• Quantity tab
• a multi-pack
• a case of single product
• a pallet of cases of a single product
• a pallet of different products (different cases)",Used by a buyer and/or consumer to understand what type of product they are receiving; also used for inventory/warehouse management.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/nextLowerLevelTradeItemInformation/childTradeItem/quantityOfNextLowerLevelTradeItem,1..1,1..70 ,nonNegativeInteger
203,gtin,"A particular Global trade item Number, a numerical value used to uniquely identify a trade item. A trade item is any trade item (trade item or service) upon which there is a need to retrieve pre-defined information and that may be planned, priced, ordered, delivered and or invoiced at any point in any supply chain.",GTIN (Global Trade Item Number) of the Contained Product,The GTIN that uniquely identifies the next lower level product within the packaging/item hierarchy.,"Images including barcodes to support the relationships between next lower level items:
• quantity tab
• a multi-pack
• a case of single product
• a pallet of cases of a single product
• a pallet of different products (different cases)","Used by the buyer to understand the relationship between GTINs to properly set up the product hierarchy ordered, invoiced, shipped or sold in store or online. Note that this attribute is not used at the each or base item level.  May be used multiple times in the instance of assortment.

Used in conjunction with Count of Each Specific Product. ",Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/nextLowerLevelTradeItemInformation/childTradeItem/gtin,1..1,14..14 ,GTIN
204,animalNutrientTypeCode,A code identifying nutrients contained in the animal food or nutrition product.,Animal Nutrient Code,The code that represents the nutrient or energy element that is found in the product.,Show image of nutrition fact panel side by side with nutrient code for each line.,Used to inform the consumer and the buyer of the nutrient or energy element that is found in the product.,Y,1.2,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemInformation/extension/*[namespace-uri()='urn:gs1:gdsn:animal_feeding:xsd:3' and local-name()='animalFeedingModule']/animalFeeding/animalFeedingDetail/animalNutrientDetail/animalNutrientTypeCode,1..1,1..80 ,NutrientTypeCode
