canonical_spec,claim_id,statement,source_path,source_heading,short_quote,status,BACKLOG_ID,BACKLOG_STATUS
data-knowledge-model.md,DAT-011,"5,42,MANDATORY,""EUDR Article 9 requires geolocation data for all commodities. DDS Reference Number must be transmitted via EDI DESADV RFF segment."",2026-12-30,""[""""food"""",""""timber"""",""""textiles""""]"",true",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.4 Phase 3: Regulation-to-Attribute Mapping (Week 2-3, 24 hours)","5,42,MANDATORY,""EUDR Article 9 requires geolocation data for all commodities. DDS Reference Number m",traceable,,
data-knowledge-model.md,DAT-012,"8,67,MANDATORY,""PPWR Article 11 mandates recyclability labeling. Packaging material type must be specified using granular codes (e.g., PET_TRANSPARENT vs. PET_OPAQUE) for Verpact fee calculation."",202",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.4 Phase 3: Regulation-to-Attribute Mapping (Week 2-3, 24 hours)","8,67,MANDATORY,""PPWR Article 11 mandates recyclability labeling. Packaging material type must be spe",traceable,,
data-knowledge-model.md,DAT-013,"Task: Identify which GS1 attributes are required, recommended, or optional for compliance with this regulation.",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.4 Phase 3: Regulation-to-Attribute Mapping (Week 2-3, 24 hours)","Task: Identify which GS1 attributes are required, recommended, or optional for compliance with this",traceable,,
data-knowledge-model.md,DAT-014,"Focus on attributes that are directly required by the regulation's legal text, not just ""nice to have.""`;",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.4 Phase 3: Regulation-to-Attribute Mapping (Week 2-3, 24 hours)","Focus on attributes that are directly required by the regulation's legal text, not just ""nice to hav",traceable,,
data-knowledge-model.md,DAT-015,"required: [""attributeName"", ""requirementLevel"", ""rationale""],",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.4 Phase 3: Regulation-to-Attribute Mapping (Week 2-3, 24 hours)","required: [""attributeName"", ""requirementLevel"", ""rationale""],",traceable,,
data-knowledge-model.md,DAT-016,"required: [""mappings""],",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.4 Phase 3: Regulation-to-Attribute Mapping (Week 2-3, 24 hours)","required: [""mappings""],",traceable,,
data-knowledge-model.md,DAT-017,// Get attributes required for a specific regulation,./docs/GS1_Attribute_Mapper_Technical_Specification.md,3.2 tRPC Procedures,// Get attributes required for a specific regulation,traceable,,
data-knowledge-model.md,DAT-018,| `gs1Attributes.getByRegulation` | Query | Public | Get attributes required for specific regulation |,./docs/GS1_Attribute_Mapper_Technical_Specification.md,3.3 API Endpoints Summary,| `gs1Attributes.getByRegulation` | Query | Public | Get attributes required for specific regulation,traceable,,
data-knowledge-model.md,DAT-019,"This component displays GS1 attributes required for a specific regulation, organized by technical format (GDSN, EDI, JSON-LD).",./docs/GS1_Attribute_Mapper_Technical_Specification.md,4.1 UI Component: Attribute Mapper Tab,"This component displays GS1 attributes required for a specific regulation, organized by technical fo",traceable,,
data-knowledge-model.md,DAT-020,<AlertDescription>No GDSN XML attributes required for this regulation.</AlertDescription>,./docs/GS1_Attribute_Mapper_Technical_Specification.md,4.1 UI Component: Attribute Mapper Tab,<AlertDescription>No GDSN XML attributes required for this regulation.</AlertDescription>,traceable,,
data-knowledge-model.md,DAT-021,<AlertDescription>No EDI segments required for this regulation.</AlertDescription>,./docs/GS1_Attribute_Mapper_Technical_Specification.md,4.1 UI Component: Attribute Mapper Tab,<AlertDescription>No EDI segments required for this regulation.</AlertDescription>,traceable,,
data-knowledge-model.md,DAT-022,<AlertDescription>No JSON-LD properties required for this regulation.</AlertDescription>,./docs/GS1_Attribute_Mapper_Technical_Specification.md,4.1 UI Component: Attribute Mapper Tab,<AlertDescription>No JSON-LD properties required for this regulation.</AlertDescription>,traceable,,
data-knowledge-model.md,DAT-023,"<span className=""font-semibold"">Required:</span> {mapping.attribute?.isRequired ? ""Yes"" : ""No""}",./docs/GS1_Attribute_Mapper_Technical_Specification.md,4.1 UI Component: Attribute Mapper Tab,"<span className=""font-semibold"">Required:</span> {mapping.attribute?.isRequired ? ""Yes"" : ""No""}",traceable,,
data-knowledge-model.md,DAT-024,- GDSN XML template with required fields,./docs/GS1_Attribute_Mapper_Technical_Specification.md,8.2 Phase 5: Code Generator (Q2 2026),- GDSN XML template with required fields,traceable,,
data-knowledge-model.md,DAT-025,"Enable GS1 Netherlands members to understand which GS1 standards and data attributes are required for compliance with EU regulations (CSRD, EUDR, DPP, ESRS) through structured mappings, versioned advi",./ARCHITECTURE.md,Core Mission,Enable GS1 Netherlands members to understand which GS1 standards and data attributes are required fo,traceable,,
data-knowledge-model.md,DAT-026,"- **Advisory Publication:** Lane C review required, no automated publication",./ARCHITECTURE.md,Data Limitations,"- **Advisory Publication:** Lane C review required, no automated publication",traceable,,
data-knowledge-model.md,DAT-027,"- 🔴 **Critical:** Must-have for MVP, core user journeys",./docs/ISA_INFORMATION_ARCHITECTURE.md,4. Page-Type Priority Matrix,"- 🔴 **Critical:** Must-have for MVP, core user journeys",traceable,,
data-knowledge-model.md,DAT-028,3. **Validate:** Cross-reference with GS1 official documentation to ensure accuracy,./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.2 Phase 1: Manual Curation (Week 1, 20 hours)",3. **Validate:** Cross-reference with GS1 official documentation to ensure accuracy,traceable,,
data-knowledge-model.md,DAT-029,"it(""should retrieve attributes by standard"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.1 Unit Tests (Vitest),"it(""should retrieve attributes by standard"", async () => {",traceable,,
data-knowledge-model.md,DAT-030,"it(""should retrieve attributes by technical format"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.1 Unit Tests (Vitest),"it(""should retrieve attributes by technical format"", async () => {",traceable,,
data-knowledge-model.md,DAT-031,"it(""should search attributes by keyword"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.1 Unit Tests (Vitest),"it(""should search attributes by keyword"", async () => {",traceable,,
data-knowledge-model.md,DAT-032,"it(""should create regulation-attribute mapping"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.1 Unit Tests (Vitest),"it(""should create regulation-attribute mapping"", async () => {",traceable,,
data-knowledge-model.md,DAT-033,"it(""should filter mappings by requirement level"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.1 Unit Tests (Vitest),"it(""should filter mappings by requirement level"", async () => {",traceable,,
data-knowledge-model.md,DAT-034,"it(""should calculate attribute mapping statistics"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.1 Unit Tests (Vitest),"it(""should calculate attribute mapping statistics"", async () => {",traceable,,
data-knowledge-model.md,DAT-035,"it(""should increment view count"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.1 Unit Tests (Vitest),"it(""should increment view count"", async () => {",traceable,,
data-knowledge-model.md,DAT-036,"it(""should list attributes with pagination"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.2 Integration Tests (tRPC Procedures),"it(""should list attributes with pagination"", async () => {",traceable,,
data-knowledge-model.md,DAT-037,"it(""should filter attributes by technical format"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.2 Integration Tests (tRPC Procedures),"it(""should filter attributes by technical format"", async () => {",traceable,,
data-knowledge-model.md,DAT-038,"it(""should get attribute by ID"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.2 Integration Tests (tRPC Procedures),"it(""should get attribute by ID"", async () => {",traceable,,
data-knowledge-model.md,DAT-039,"it(""should get attributes by regulation"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.2 Integration Tests (tRPC Procedures),"it(""should get attributes by regulation"", async () => {",traceable,,
data-knowledge-model.md,DAT-040,"it(""should get attribute mapping statistics"", async () => {",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.2 Integration Tests (tRPC Procedures),"it(""should get attribute mapping statistics"", async () => {",traceable,,
data-knowledge-model.md,DAT-041,- [ ] Verify statistics cards show correct counts,./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),- [ ] Verify statistics cards show correct counts,traceable,,
data-knowledge-model.md,DAT-042,"- [ ] Verify attributes are grouped by format (GDSN, EDI, JSON-LD)",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),"- [ ] Verify attributes are grouped by format (GDSN, EDI, JSON-LD)",traceable,,
data-knowledge-model.md,DAT-043,"- [ ] Verify requirement level badges display correctly (MANDATORY, RECOMMENDED, etc.)",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),"- [ ] Verify requirement level badges display correctly (MANDATORY, RECOMMENDED, etc.)",traceable,,
data-knowledge-model.md,DAT-044,- [ ] Verify code examples render properly,./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),- [ ] Verify code examples render properly,traceable,,
data-knowledge-model.md,DAT-045,- [ ] Verify empty state displays when no attributes found,./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),- [ ] Verify empty state displays when no attributes found,traceable,,
data-knowledge-model.md,DAT-046,- [ ] Verify attribute grid displays,./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),- [ ] Verify attribute grid displays,traceable,,
data-knowledge-model.md,DAT-047,- [ ] Verify attribute cards show correct information,./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),- [ ] Verify attribute cards show correct information,traceable,,
data-knowledge-model.md,DAT-048,"- [ ] Verify code examples are truncated with ""line-clamp-3""",./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),"- [ ] Verify code examples are truncated with ""line-clamp-3""",traceable,,
data-knowledge-model.md,DAT-049,- [ ] Verify tabs stack vertically,./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),- [ ] Verify tabs stack vertically,traceable,,
data-knowledge-model.md,DAT-050,- [ ] Verify attribute cards stack in single column,./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),- [ ] Verify attribute cards stack in single column,traceable,,
data-knowledge-model.md,DAT-051,- [ ] Verify code examples scroll horizontally,./docs/GS1_Attribute_Mapper_Technical_Specification.md,5.3 End-to-End Tests (UI),- [ ] Verify code examples scroll horizontally,traceable,,
data-knowledge-model.md,DAT-052,- Verify Lane C authorization,./ARCHITECTURE.md,Advisory Report Generation (Lane C Restricted),- Verify Lane C authorization,traceable,,
