id,source,ref,text
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1006,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1006,roadmap-evolution.md | ROA-095 | - [x] Verify Lane C governance on created reports | ./todo.md | Test Coverage | - [x] Verify Lane C governance on created reports | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1007,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1007,roadmap-evolution.md | ROA-096 | - [x] Verify generatedBy field set to admin user | ./todo.md | Test Coverage | - [x] Verify generatedBy field set to admin user | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1008,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1008,"roadmap-evolution.md | ROA-097 | - ESRS Datapoints: 5 (needs fix - should be 1,184) | ./todo.md | Dashboard Features Delivered | - ESRS Datapoints: 5 (needs fix - should be 1,184) | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1009,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1009,roadmap-evolution.md | ROA-098 | - [x] Verify deterministic behavior (no interpretation/reasoning) | ./todo.md | Priority 3: Standards Discovery UI ✅ COMPLETE | - [x] Verify deterministic behavior (no interpretation/reasoning) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1010,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1010,roadmap-evolution.md | ROA-099 | - [x] Validate dev server running successfully | ./todo.md | TypeScript Error Fixes ✅ COMPLETE (Production-Critical) | - [x] Validate dev server running successfully | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1011,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1011,roadmap-evolution.md | ROA-100 | - [x] Verify GitHub Actions workflow exists | ./todo.md | 4.1 CI/CD Pipeline | - [x] Verify GitHub Actions workflow exists | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L163,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L163,"data-knowledge-model.md | DAT-097 | | Add obligation language detection (shall, must, required) | Check 2 | 4h | MEDIUM | | ./docs/ISA_NEWS_HUB_SELF_CHECK_ASSESSMENT.md | Phase 2: Short-Term (Next Sprint) | | Add obligation language detection (shall, must, required) | Check 2 | 4h | MEDIUM | | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L234,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L234,governance-iron-protocol.md | GOV-068 | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L235,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L235,governance-iron-protocol.md | GOV-069 | 2. **User Decision Required:** Determine ISA license | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 2. **User Decision Required:** Determine ISA license | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L244,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L244,governance-iron-protocol.md | GOV-078 | - Ensure procedures are comprehensive and current | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Short-Term (Next 14 Days) | - Ensure procedures are comprehensive and current | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L245,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L245,governance-iron-protocol.md | GOV-079 | - Validate security monitoring is working | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Medium-Term (Next 30 Days) | - Validate security monitoring is working | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L257,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L257,"governance-iron-protocol.md | GOV-091 | **NOTE:** Whether they are already located in the *correct repo paths* and wired into daily flow must be verified in the next step (see Section 4). | ./docs/evidence/ISA_IRON_DOCSET_AND_CRITICAL_PATH_DECISION_DRAFT_v0.md | C. Baseline discoverability artefacts (strongly recommended, low-cost) | **NOTE:** Whether they are already located in the *correct repo paths* and wired into daily flow mus | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L299,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L299,ingestion-update-lifecycle.md | ING-033 | - [x] Fix boolean→number in INGEST-02_gdsn_current.ts (required field) | ./todo.md | Ingestion Script Fixes | - [x] Fix boolean→number in INGEST-02_gdsn_current.ts (required field) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L300,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L300,ingestion-update-lifecycle.md | ING-034 | - [x] Fix boolean→number in INGEST-04_ctes_kdes.ts (mandatory and required fields) | ./todo.md | Ingestion Script Fixes | - [x] Fix boolean→number in INGEST-04_ctes_kdes.ts (mandatory and required fields) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L301,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L301,ingestion-update-lifecycle.md | ING-035 | 2. **Column Naming Consistency:** Drizzle schema uses camelCase for TypeScript but snake_case for database columns - tests must use TypeScript property names | ./todo.md | Meta-Learnings | 2. **Column Naming Consistency:** Drizzle schema uses camelCase for TypeScript but snake_case for da | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L302,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L302,ingestion-update-lifecycle.md | ING-036 | - [x] Create server/test-helpers/db-test-utils.ts with 7 required functions: | ./todo.md | TASK 1 — DB Test Helpers (PR #4 equivalent) | - [x] Create server/test-helpers/db-test-utils.ts with 7 required functions: | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L303,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L303,ingestion-update-lifecycle.md | ING-037 | - [x] Seed helpers must work within transaction context | ./todo.md | TASK 1 — DB Test Helpers (PR #4 equivalent) | - [x] Seed helpers must work within transaction context | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L304,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L304,ingestion-update-lifecycle.md | ING-038 | **STATUS: ALREADY COMPLIANT** ✅ No changes required. | ./todo.md | TASK 3 — CI Scripts (PR #5 equivalent) ✅ COMPLETE | **STATUS: ALREADY COMPLIANT** ✅ No changes required. | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L305,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L305,ingestion-update-lifecycle.md | ING-039 | - [x] Must not be default (verified) | ./todo.md | TASK 3 — CI Scripts (PR #5 equivalent) ✅ COMPLETE | - [x] Must not be default (verified) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L306,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L306,ingestion-update-lifecycle.md | ING-040 | - [x] Update docs/CI_TESTING.md ONLY if required (not required) | ./todo.md | TASK 3 — CI Scripts (PR #5 equivalent) ✅ COMPLETE | - [x] Update docs/CI_TESTING.md ONLY if required (not required) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L307,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L307,ingestion-update-lifecycle.md | ING-041 | - [x] Deliverable: No PR required - existing implementation already compliant with spec | ./todo.md | TASK 3 — CI Scripts (PR #5 equivalent) ✅ COMPLETE | - [x] Deliverable: No PR required - existing implementation already compliant with spec | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L308,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L308,ingestion-update-lifecycle.md | ING-042 | - [x] Display delta analysis (5 required fields) on event detail page | ./todo.md | Step 4: Minimal UI | - [x] Display delta analysis (5 required fields) on event detail page | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L309,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L309,"ingestion-update-lifecycle.md | ING-043 | **Future Enhancements (Optional, NOT required for ISA-GRADE):** | ./todo.md | 🔒 BASELINE FROZEN — ISA News Hub v2 (25 January 2026) | **Future Enhancements (Optional, NOT required for ISA-GRADE):** | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L310,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L310,"ingestion-update-lifecycle.md | ING-044 | - [ ] Test on desktop browsers (Chrome, Safari) - USER TESTING REQUIRED | ./todo.md | Desktop Dropdown Fix | - [ ] Test on desktop browsers (Chrome, Safari) - USER TESTING REQUIRED | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L346,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L346,ingestion-update-lifecycle.md | ING-080 | - [ ] Validate gs1ImpactTags inference quality | ./todo.md | 5.4 Tests | - [ ] Validate gs1ImpactTags inference quality | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L347,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L347,ingestion-update-lifecycle.md | ING-081 | - [ ] Validate sectorTags inference quality | ./todo.md | 5.4 Tests | - [ ] Validate sectorTags inference quality | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L348,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L348,ingestion-update-lifecycle.md | ING-082 | - [ ] Verify query performance | ./todo.md | 6.4 Tests | - [ ] Verify query performance | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L349,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L349,ingestion-update-lifecycle.md | ING-083 | - [x] Verify UI rendering with real data | ./todo.md | 8.1 Coverage Analytics Dashboard ✅ COMPLETE | - [x] Verify UI rendering with real data | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L350,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L350,"ingestion-update-lifecycle.md | ING-084 | - [x] Verify production readiness and performance impact (TypeScript 0 errors, dev server running) | ./todo.md | 8.2 Pipeline Observability ✅ COMPLETE | - [x] Verify production readiness and performance impact (TypeScript 0 errors, dev server running) | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L351,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L351,ingestion-update-lifecycle.md | ING-085 | - [ ] Verify all new sources ingesting | ./todo.md | 9.4 Final Validation | - [ ] Verify all new sources ingesting | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L352,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L352,ingestion-update-lifecycle.md | ING-086 | - [ ] Verify AI tagging quality | ./todo.md | 9.4 Final Validation | - [ ] Verify AI tagging quality | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L353,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L353,ingestion-update-lifecycle.md | ING-087 | - [ ] Verify UI rendering correctly | ./todo.md | 9.4 Final Validation | - [ ] Verify UI rendering correctly | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L354,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L354,ingestion-update-lifecycle.md | ING-088 | - [ ] Verify coverage analytics working | ./todo.md | 9.4 Final Validation | - [ ] Verify coverage analytics working | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L355,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L355,ingestion-update-lifecycle.md | ING-089 | - [ ] Verify documentation accuracy | ./todo.md | 9.4 Final Validation | - [ ] Verify documentation accuracy | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L356,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L356,ingestion-update-lifecycle.md | ING-090 | - [ ] Validate existing `compute_advisory_diff.cjs` script | ./todo.md | Priority 3: Advisory Diff Tracking (Version Discipline) | - [ ] Validate existing `compute_advisory_diff.cjs` script | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L357,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L357,ingestion-update-lifecycle.md | ING-091 | - [x] Ensure GS1 Style Guide compliance | ./todo.md | Regulatory Change Log Public UI ✅ | - [x] Ensure GS1 Style Guide compliance | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L358,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L358,ingestion-update-lifecycle.md | ING-092 | - [x] Validate GS1 Style Guide compliance | ./todo.md | Testing & Quality ⏳ | - [x] Validate GS1 Style Guide compliance | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L359,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L359,ingestion-update-lifecycle.md | ING-093 | - [x] Verify traceability (source URL + SHA256) | ./todo.md | Testing & Quality ⏳ | - [x] Verify traceability (source URL + SHA256) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L360,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L360,ingestion-update-lifecycle.md | ING-094 | - [x] Verify GS1 Netherlands involvement (2 contributors) | ./todo.md | Phase 2.4: GS1 NL/Europe Documentation Discovery ✅ | - [x] Verify GS1 Netherlands involvement (2 contributors) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L361,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L361,ingestion-update-lifecycle.md | ING-095 | - [x] Verify TypeScript compilation (no errors) | ./todo.md | tRPC Router Integration ✅ | - [x] Verify TypeScript compilation (no errors) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L362,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L362,ingestion-update-lifecycle.md | ING-096 | - [x] Verify dev server health (running successfully) | ./todo.md | tRPC Router Integration ✅ | - [x] Verify dev server health (running successfully) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L363,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L363,ingestion-update-lifecycle.md | ING-097 | - [x] Verify correct retrieval of ESRS E5 → GS1 Circular Economy Attributes mapping | ./todo.md | Phase 4.3: Test Ask ISA with GS1-ESRS mapping queries ✅ | - [x] Verify correct retrieval of ESRS E5 → GS1 Circular Economy Attributes mapping | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L364,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L364,"ingestion-update-lifecycle.md | ING-098 | - [x] Verify data integrity (15+ mappings, ESRS E1/E5 coverage) | ./todo.md | Phase 6: Production hardening with vitest tests ✅ | - [x] Verify data integrity (15+ mappings, ESRS E1/E5 coverage) | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L365,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L365,"ingestion-update-lifecycle.md | ING-099 | - [x] Verify data accuracy (13 mappings, 62.5% coverage, 3 gaps) | ./todo.md | Phase 7: Frontend Integration (Autonomous Development - Dec 16, 2025) ✅ COMPLETE | - [x] Verify data accuracy (13 mappings, 62.5% coverage, 3 gaps) | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L366,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L366,ingestion-update-lifecycle.md | ING-100 | - [x] Verify ESRS Datapoints tab loads without errors | ./todo.md | Schema Fix | - [x] Verify ESRS Datapoints tab loads without errors | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L404,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L404,"retrieval-embeddings-grounding.md | RET-010 | **Rationale:** Many next-generation capabilities (reasoning-optimized LLMs, VLMs, autonomous agents) have significantly higher per-query costs than current ISA operations. Cost models must be sustaina | ./ISA_CAPABILITY_MAP.md | Constraint 1: Cost Sustainability | **Rationale:** Many next-generation capabilities (reasoning-optimized LLMs, VLMs, autonomous agents) | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L416,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L416,"retrieval-embeddings-grounding.md | RET-022 | This plan prioritizes the resolution of critical inconsistencies and stack conflicts, structured into sequential gates. Each gate must be successfully passed before the next can begin. | ./docs/ISA_COMPARATIVE_REFACTOR_GATE_PLAN.md | Task 3: Prioritized Refactor Plan with Acceptance Gates | This plan prioritizes the resolution of critical inconsistencies and stack conflicts, structured int | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L428,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L428,"retrieval-embeddings-grounding.md | RET-034 | As ISA explores next-generation capabilities, certain architectural principles and constraints should guide implementation decisions to ensure the platform remains maintainable, cost-effective, and al | ./ISA_CAPABILITY_MAP.md | Architectural Principles and Constraints | As ISA explores next-generation capabilities, certain architectural principles and constraints shoul | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L431,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L431,retrieval-embeddings-grounding.md | RET-037 | - **Feature Flags:** All next-generation capabilities should be gated behind feature flags to enable selective deployment and A/B testing | ./ISA_CAPABILITY_MAP.md | Principle 1: Preserve Optionality | - **Feature Flags:** All next-generation capabilities should be gated behind feature flags to enable | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L439,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L439,"retrieval-embeddings-grounding.md | RET-045 | The current ISA implementation provides a **stable baseline** with proven capabilities in automated news aggregation, RAG-powered Q&A, regulation tracking, and standards mapping. Next-generation capab | ./ISA_CAPABILITY_MAP.md | Conclusion: From Exploration to Validation | The current ISA implementation provides a **stable baseline** with proven capabilities in automated | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L443,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L443,retrieval-embeddings-grounding.md | RET-049 | 11. **If Agents Validate:** Explore proactive assistant scenario (Scenario B) with Approach 5C (LLM trend analysis) | ./ISA_CAPABILITY_MAP.md | Recommended Next Steps | 11. **If Agents Validate:** Explore proactive assistant scenario (Scenario B) with Approach 5C (LLM | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L447,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L447,"retrieval-embeddings-grounding.md | RET-053 | The existing ISA implementation is a valuable asset, not a constraint. Next-generation capabilities should enhance ISA's value proposition incrementally rather than requiring wholesale replacement. Th | ./ISA_CAPABILITY_MAP.md | Final Recommendations | The existing ISA implementation is a valuable asset, not a constraint. Next-generation capabilities | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L448,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L448,"retrieval-embeddings-grounding.md | RET-054 | 3. **Make context append-only.** ISA's agent loops should never modify previous actions or observations retroactively. Verify that todo.md updates, knowledge base additions, and pipeline logs are stri | ./docs/MANUS_BEST_PRACTICES_FOR_ISA.md | 1.1 The KV-Cache Imperative | 3. **Make context append-only.** ISA's agent loops should never modify previous actions or observati | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L455,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L455,"retrieval-embeddings-grounding.md | RET-061 | 3. **Pin a compact, living plan.** ISA's todo.md should be kept minimal (not exhaustive) and updated each loop. This pushes the global plan into the model's recent attention span, avoiding ""lost-in-th | ./docs/MANUS_BEST_PRACTICES_FOR_ISA.md | 1.3 Modular Prompt Structure | 3. **Pin a compact, living plan.** ISA's todo.md should be kept minimal (not exhaustive) and updated | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L456,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L456,"retrieval-embeddings-grounding.md | RET-062 | 2. **Update todo.md every loop during complex tasks.** ISA's typical 50-tool-call loops should update todo.md at key milestones (e.g., after each ingestion phase, after each RAG query batch) to mainta | ./docs/MANUS_BEST_PRACTICES_FOR_ISA.md | 2.1 Todo.md as Attention Manipulation | 2. **Update todo.md every loop during complex tasks.** ISA's typical 50-tool-call loops should updat | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L509,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L509,evaluation-governance-reproducibility.md | EVA-015 | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L510,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L510,evaluation-governance-reproducibility.md | EVA-016 | 2. **User Decision Required:** Determine ISA license | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 2. **User Decision Required:** Determine ISA license | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L515,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L515,evaluation-governance-reproducibility.md | EVA-021 | - Ensure procedures are comprehensive and current | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Short-Term (Next 14 Days) | - Ensure procedures are comprehensive and current | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L516,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L516,evaluation-governance-reproducibility.md | EVA-022 | - Validate security monitoring is working | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Medium-Term (Next 30 Days) | - Validate security monitoring is working | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L576,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L576,"evaluation-governance-reproducibility.md | EVA-082 | **NOTE:** Whether they are already located in the *correct repo paths* and wired into daily flow must be verified in the next step (see Section 4). | ./docs/evidence/ISA_IRON_DOCSET_AND_CRITICAL_PATH_DECISION_DRAFT_v0.md | C. Baseline discoverability artefacts (strongly recommended, low-cost) | **NOTE:** Whether they are already located in the *correct repo paths* and wired into daily flow mus | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L605,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L605,observability-tracing-feedback.md | OBS-011 | - [ ] Implement cookie consent banner (if required by legal review) | ./docs/PRODUCTION_IMPROVEMENTS_JAN_2026.md | 8.1 Short-Term (Next 30 Days) | - [ ] Implement cookie consent banner (if required by legal review) | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L611,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L611,observability-tracing-feedback.md | OBS-017 | - [ ] Conduct load testing to validate scaling assumptions | ./docs/PRODUCTION_IMPROVEMENTS_JAN_2026.md | 8.2 Long-Term (Next 90 Days) | - [ ] Conduct load testing to validate scaling assumptions | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L626,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L626,repo-change-control-release.md | REP-015 | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | traceable
